,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
667,2024-10-03 15:30:00+00:00,AAPL,224.86,225.22,224.86,225.035,19942.0,,226.15974999999997,225.8311,225.81572580645164,1.0172714423934748,228.19429288478693,224.12520711521302,0.3149999999999977,0.0,0,0.0,225.15
678,2024-10-03 15:45:00+00:00,AAPL,225.15,225.25,225.025,225.13,21080.0,,226.06925,225.8275,225.80484126984126,1.0243196217464816,228.11788924349298,224.02061075650704,0.09499999999999886,0.0,0,0.0,225.18
689,2024-10-03 16:00:00+00:00,AAPL,225.18,225.36,225.035,225.245,30970.0,,225.9975,225.842,225.79609375,1.0292721943201026,228.0560443886402,223.9389556113598,0.1150000000000091,0.0,0,0.0,225.24
700,2024-10-03 16:15:00+00:00,AAPL,225.24,225.25,225.01,225.115,16852.0,,225.89625,225.84869999999998,225.7856153846154,1.0113479556995368,227.91894591139908,223.87355408860094,-0.12999999999999545,0.0,0,0.0,225.085
711,2024-10-03 16:30:00+00:00,AAPL,225.085,225.085,224.27,224.43,25826.0,,225.76399999999998,225.8531,225.76507575757577,1.021448236580314,227.8068964731606,223.72110352683936,-0.6850000000000023,0.0,0,0.0,224.45
722,2024-10-03 16:45:00+00:00,AAPL,224.45,224.47,223.64,223.83,55549.0,,225.61399999999998,225.8501,225.73619402985076,1.0728730120631753,227.75974602412631,223.46825397587364,-0.5999999999999943,0.0,0,0.0,223.74
733,2024-10-03 17:00:00+00:00,AAPL,223.74,223.93,223.33,223.72,20568.0,,225.45700000000002,225.8339,225.70654411764707,1.108216359737361,227.67343271947473,223.2405672805253,-0.11000000000001364,0.0,0,0.0,223.72
744,2024-10-03 17:15:00+00:00,AAPL,223.72,224.285,223.61,223.87,20815.0,,225.3065,225.8087,225.6799275362319,1.1091326566280812,227.52476531325615,223.08823468674385,0.15000000000000568,0.0,0,0.0,223.8
755,2024-10-03 17:30:00+00:00,AAPL,223.8,224.295,223.8,224.14,15748.0,,225.15825,225.7827,225.65792857142858,1.055700330348762,227.26965066069752,223.0468493393025,0.2699999999999818,0.0,0,0.0,224.15
766,2024-10-03 17:45:00+00:00,AAPL,224.15,224.29,224.02,224.25,10395.0,,225.00875000000002,225.7582,225.6380985915493,0.9574521854848574,226.92365437096973,223.0938456290303,0.11000000000001364,0.0,0,0.0,224.295
777,2024-10-03 18:00:00+00:00,AAPL,224.295,224.385,224.015,224.03,11179.0,,224.84675000000001,225.7302,225.61576388888886,0.8262600604470378,226.4992701208941,223.19422987910593,-0.21999999999999886,0.0,0,0.0,224.025
788,2024-10-03 18:15:00+00:00,AAPL,224.025,224.13,223.72,223.855,10757.0,,224.70100000000002,225.69490000000002,225.59164383561642,0.7250493086635562,226.15109861732714,223.2509013826729,-0.17500000000001137,0.0,0,0.0,223.83
799,2024-10-03 18:30:00+00:00,AAPL,223.83,224.035,223.79,223.9,10573.0,,224.598,225.65529999999998,225.56878378378377,0.684042030864817,225.96608406172965,223.22991593827038,0.045000000000015916,0.0,0,0.0,223.86
810,2024-10-03 18:45:00+00:00,AAPL,223.86,223.95,223.615,223.625,24851.0,,224.45925000000003,225.6042,225.54286666666667,0.5776142202980967,225.61447844059623,223.30402155940382,-0.2750000000000057,0.0,0,0.0,223.57
821,2024-10-03 19:00:00+00:00,AAPL,223.57,223.7,223.51,223.605,23337.0,,224.35475000000002,225.55259999999998,225.51736842105262,0.5318375574206609,225.41842511484134,223.2910748851587,-0.020000000000010232,0.0,0,0.0,223.6
832,2024-10-03 19:15:00+00:00,AAPL,223.6,223.87,223.57,223.7,18310.0,,224.29524999999998,225.5025,225.49376623376625,0.5351833214009628,225.3656166428019,223.22488335719805,0.09499999999999886,0.0,0,0.0,223.705
843,2024-10-03 19:30:00+00:00,AAPL,223.705,224.08,223.68,224.07,18575.0,,224.26725000000002,225.5077,225.47551282051282,0.5315742539761008,225.33039850795222,223.2041014920478,0.37000000000000455,0.0,0,0.0,224.07
854,2024-10-03 19:45:00+00:00,AAPL,224.07,225.83,224.0,225.6,94738.0,,224.32625,225.5509,225.4770886075949,0.6055862345761684,225.53742246915232,223.11507753084766,1.5300000000000011,0.0,0,0.0,227.92
870,2024-10-04 13:30:00+00:00,AAPL,227.92,227.96,225.66,225.94,124041.0,,224.39050000000003,225.5785,225.482875,0.6981491602727706,225.78679832054559,222.99420167945448,,0.0,0,0.0,226.09
881,2024-10-04 13:45:00+00:00,AAPL,226.09,226.22,225.08,225.17,76623.0,,224.413,225.5755,225.479012345679,0.7154428698327768,225.84388573966555,222.98211426033447,-0.7700000000000102,0.0,0,0.0,225.18
892,2024-10-04 14:00:00+00:00,AAPL,225.18,225.58,224.61,224.9,74558.0,,224.40625,225.5553,225.4719512195122,0.7101599731777373,225.82656994635548,222.98593005364452,-0.2699999999999818,0.0,0,0.0,224.775
903,2024-10-04 14:15:00+00:00,AAPL,224.775,225.31,224.38,224.49,61200.0,,224.37425,225.5249,225.4601204819277,0.6909871109538346,225.75622422190767,222.9922757780923,-0.4099999999999966,0.0,0,0.0,224.47
914,2024-10-04 14:30:00+00:00,AAPL,224.47,225.34,224.17,225.29,53509.0,,224.3765,225.5061,225.45809523809524,0.6938859776698824,225.76427195533975,222.98872804466023,0.799999999999983,0.0,0,0.0,225.32
925,2024-10-04 14:45:00+00:00,AAPL,225.32,225.53,224.87,225.04,51711.0,,224.37275,225.4825,225.45317647058823,0.690076943174305,225.7529038863486,222.9925961136514,-0.25,0.0,0,0.0,225.15
936,2024-10-04 15:00:00+00:00,AAPL,225.15,225.32,224.7,224.7,18382.0,,224.38625000000002,225.4357,225.4444186046512,0.6936963943234917,225.773642788647,222.99885721135303,-0.3400000000000034,0.0,0,0.0,224.7
947,2024-10-04 15:15:00+00:00,AAPL,224.7,224.99,224.34,224.51,22596.0,,224.42024999999998,225.3897,225.43367816091953,0.682168371815075,225.78458674363014,223.05591325636982,-0.18999999999999773,0.0,0,0.0,224.4
958,2024-10-04 15:30:00+00:00,AAPL,224.4,225.02,224.36,224.84,13403.0,,224.47625,225.3491,225.42693181818183,0.6682138037383524,225.8126776074767,223.13982239252329,0.3300000000000125,0.0,0,0.0,224.81
